direction,relation,relex_relcos,sentence,term1,term2
IM CEFTRIAXONE treats URETHRAL OR RECTAL GONORRHEA,treats,1.0,"For treatment of uncomplicated cervical, URETHRAL OR RECTAL GONORRHEA CDC and others recommend IM ceftriaxone or oral cefixime; IM CEFTRIAXONE is drug of choice for pharyngeal infections.",URETHRAL OR RECTAL GONORRHEA,IM CEFTRIAXONE
no_relation,diagnosis,0.5303300858899109,"Diagnosis specific malignancies available for evaluation included ALL, acute myeloid leukaemia (AML), Hodgkin's disease, NHL, rhabdomyosarcoma, neuroblastoma, retinoblastoma, OSTEOSARCOMA Wilms' tumour, RETINOBLASTOMA Ewings' sarcoma, central nervous system (CNS) tumours and hepatoblastoma.",OSTEOSARCOMA,RETINOBLASTOMA
no_relation,contraindicates,0.471404520791032,Acute steady state moderate exercise significantly altered circulating IgE concentrations in volunteers with known ALLERGY while IgE concentrations in NON ALLERGY sufferers did not change.,ALLERGY,NON ALLERGY
SALMETEROL treats EXERCISE INDUCED ASTHMA,treats,0.99654575824488,"SALMETEROL prevented EXERCISE INDUCED ASTHMA in all 13 children studied, at 1, 5, and 9 hours.",EXERCISE INDUCED ASTHMA,SALMETEROL
CORNELIA DE LANGE SYNDROME causes SYNOPHRYS,causes,0.8834522085987719,"The patients showed the characteristic facies of the CORNELIA DE LANGE SYNDROME with SYNOPHRYS long curly eyelashes and small upturned nose, and physical features, including generalized hirsutism, monodactyly, syndactyly and clinodactyly.",SYNOPHRYS,CORNELIA DE LANGE SYNDROME
L DOPA treats PARKINSON'S DISEASE,treats,0.9797958971132712,"Dyskinesias occur in the majority of patients with PARKINSON'S DISEASE chronically treated with L DOPA and also occur in several nonhuman primate species after 1 methyl 4phenyl 1,2,3,6 tetrahydropyridine (MPTP) and L DOPA treatment.",PARKINSON'S DISEASE,L DOPA
ESCHERICHIA COLI ENDOTOXIN causes ENDOTOXEMIA,causes,0.948683298050514,ENDOTOXEMIA was evoked by bolus injection of ESCHERICHIA COLI ENDOTOXIN (2 ng/kg body weight) in six healthy subjects to investigate the early kinetics of cytokine release in relation to the development of clinical and hematologic abnormalities frequently seen in gram negative septicemia.,ESCHERICHIA COLI ENDOTOXIN,ENDOTOXEMIA
no_relation,location,0.404519917477945,It is said that the JOINTS of the affected limb by poliomyelitis are protected from the development of OSTEOARTHRITIS,JOINTS,OSTEOARTHRITIS
no_relation,diagnosis,0.9237604307034007,"During ERGONOVINE test a patient with PRINZMETAL ANGINA presented (in I, aVL, V3 V6) ST downsloping which, after a temporary phase of alternative normalization (AST) beat to beat in V5, progressed to ST upsloping with typical angina.",PRINZMETAL ANGINA,ERGONOVINE
SEIZURES causes STATUS EPILEPTICUS,causes,0.577350269189626,A possible role of LEU in sensomotor cortex is limitation of intensity and duration of SEIZURES and prevention of STATUS EPILEPTICUS,SEIZURES,STATUS EPILEPTICUS
PREDNISOLONE ACETATE treats POSTOPERATIVE INFLAMMATION,treats,0.964901281354015,Diclofenac sodium was found to be as effective as PREDNISOLONE ACETATE for control of POSTOPERATIVE INFLAMMATION and as effective as flurbiprofen for inhibition of intraoperative miosis.,POSTOPERATIVE INFLAMMATION,PREDNISOLONE ACETATE
no_relation,causes,0.412081691846067,This case demonstrates a typical presentation of pheochromocytoma and the need to consider PHEOCHROMOCYTOMA early in the differential diagnosis of hypertensive emergency or difficult to control HYPERTENSION,HYPERTENSION,PHEOCHROMOCYTOMA
no_relation,causes,0.707106781186547,"Therefore, although serum P III P can be a useful marker in HEPATOCELLULAR CARCINOMA it may possibly be difficult to discriminate it from benign diseases involving the LIVER and biliary tract.",LIVER,HEPATOCELLULAR CARCINOMA
BRONCHIAL CARCINOMA diagnosis HEMOPTYSIS,diagnosis,0.308606699924184,"A chest x ray showing a large tumor like opacity in the left lower lobe and endoscopy visualizing a budding mass suggested a diagnosis of BRONCHIAL CARCINOMA in a 55 year old, tobacco smoking Cambodian who consulted for HEMOPTYSIS and altered general status.",HEMOPTYSIS,BRONCHIAL CARCINOMA
