direction,relation,relex_relcos,sentence,term1,term2
INFECTIOUS MONONUCLEOSIS causes LYMPHADENOPATHY,causes,1.0,"Painless LYMPHADENOPATHY can also result from INFECTIOUS MONONUCLEOSIS toxoplasmosis, cytomegalovirus, or leukemia.",LYMPHADENOPATHY,INFECTIOUS MONONUCLEOSIS
no_relation,causes,0.995893206467704,"Rationale: • Lack of thiamine, combined with a relative state of poor nutrition postoperatively, can lead to WERNICKE KORSAKOFF SYNDROME presenting acutely as altered mental status, ophthalmoplegia, ATAXIA and memory disorders.",ATAXIA,WERNICKE KORSAKOFF SYNDROME
BLASTOMYCES DERMATITIDIS causes PULMONARY AND EXTRAPULMONARY BLASTOMYCOSIS,causes,0.988371697650617,423  Blastomycosis  Treatment of PULMONARY AND EXTRAPULMONARY BLASTOMYCOSIS caused by  BLASTOMYCES DERMATITIDIS,PULMONARY AND EXTRAPULMONARY BLASTOMYCOSIS,BLASTOMYCES DERMATITIDIS
CALYMMATOBACTERIUM GRANULOMATIS causes GRANULOMA INGUINALE,causes,0.99654575824488,GRANULOMA INGUINALE  (Donovanosis)  GRANULOMA INGUINALE is a progressive infection of genital skin caused by  CALYMMATOBACTERIUM GRANULOMATIS,GRANULOMA INGUINALE,CALYMMATOBACTERIUM GRANULOMATIS
CALYMMATOBACTERIUM GRANULOMATIS causes GRANULOMA INGUINALE,causes,0.9128709291752768,102  Granuloma Inguinale (Donovanosis)  Treatment of GRANULOMA INGUINALE (donovanosis) caused by  CALYMMATOBACTERIUM GRANULOMATIS,GRANULOMA INGUINALE,CALYMMATOBACTERIUM GRANULOMATIS
BLADDER CANCER causes HEMATURIA,causes,0.8082903768654759,"• HEMATURIA can precede the diagnosis of BLADDER CANCER by several years according to a retrospective review of 20,571 men and women enrolled in a large prepaid health plan in California ( 53.",HEMATURIA,BLADDER CANCER
BACTERIA causes INFECTIVE ENDOCARDITIS,causes,0.971285862357264,"INFECTIVE ENDOCARDITIS  INFECTIVE ENDOCARDITIS is infection of the endocardium, usually with BACTERIA (commonly, streptococci and staphylococci) or fungi.",INFECTIVE ENDOCARDITIS,BACTERIA
PHEOCHROMOCYTOMA CRISIS causes HYPERTHERMIA,causes,0.485642931178632,"The HYPERTHERMIA that may accompany thyroid storm and PHEOCHROMOCYTOMA CRISIS also results from increased heat production, triggered in these cases by the calorigenic properties of thyroid hormones  11   and catecholamines.",HYPERTHERMIA,PHEOCHROMOCYTOMA CRISIS
ENDOMETRIOMAS causes PAIN,causes,0.9578262852211508,SURGICAL EXCISION OF OVARIAN MASSES  Ovarian Endometriosis Cysts (Endometriomas)  ENDOMETRIOMAS require surgical excision if they cause PAIN or become enlarged.,PAIN,ENDOMETRIOMAS
no_relation,causes,0.5669467095138411,"Abdominal pain related to serositis, vasculitis, or panniculitis may occur with SLE Physical exam  Musculoskeletal exam  ARTHRITIS is a feature of both SLE and WG Physical exam  Peripheral vascular exam  Asymmetry of pulses or the presence of vascular bruits may suggest vasculitis or large vessel arterial disease.",ARTHRITIS,SLE
no_relation,causes,0.3939192986,"Here we report an additional case of this tumor in a Chinese 78-year-old man presented with abdominal pain, VOMITING, and HEMATEMESIS",VOMITING,HEMATEMESIS
no_relation,causes,0.6324555320336761,TRIGEMINAL NEURALGIA involving the first ophthalmic division can be a consideration where trigger zones and a response to CARBAMAZEPINE may be present.,TRIGEMINAL NEURALGIA,CARBAMAZEPINE
DEFICIENCY causes HEREDITARY FRUCTOSE INTOLERANCE,causes,0.99654575824488,Fructose 1 phosphate aldolase (aldolase B) deficiency:  This DEFICIENCY causes the clinical syndrome of HEREDITARY FRUCTOSE INTOLERANCE,DEFICIENCY,HEREDITARY FRUCTOSE INTOLERANCE
no_relation,causes,0.338061701891407,131  Individuals with ACUTE TYPHOID INFECTION and those who are chronic typhoid carriers should  not  receive TYPHOID VACCINE,ACUTE TYPHOID INFECTION,TYPHOID VACCINE
no_relation,causes,0.520755643923296,"In persons older than 20 years in whom ophthalmoplegia is the predominant phenotype, KSS is classified as CHRONIC PROGRESSIVE EXTERNAL OPHTHALMOPLEGIA (CPEO.",CHRONIC PROGRESSIVE EXTERNAL OPHTHALMOPLEGIA,KSS
no_relation,causes,0.9113223768657672,Specific recommendation: • Distinguish SEPSIS from other causes of SIRS,SIRS,SEPSIS
ESSENTIAL THROMBOCYTHEMIA causes HIGH PLATELET COUNTS,causes,0.953998092,"ESSENTIAL THROMBOCYTHEMIA (ET) in an 11-year-old dog was characterized by persistently HIGH PLATELET COUNTS (range, 4.19 X 10(6)/microliters to 4.95 X 10(6)/microliters, abnormal platelet morphology, marked megakaryocytic hyperplasia in the bone marrow, absence of circulating megakaryoblasts, and history of splenomegaly and gastrointestinal bleeding",HIGH PLATELET COUNTS,ESSENTIAL THROMBOCYTHEMIA
ADRENAL PHEOCHROMOCYTOMA causes PERIODIC ALTERNATING HYPERTENSION,causes,0.843274042711568,We present a patient with an ADRENAL PHEOCHROMOCYTOMA with an unusual pattern of PERIODIC ALTERNATING HYPERTENSION and hypotension.,PERIODIC ALTERNATING HYPERTENSION,ADRENAL PHEOCHROMOCYTOMA
DISEASE (SUBACUTE NECROTIZING ENCEPHALOMYELOPATHY) causes DYSTONIA,causes,0.936329177569044,"A case of Leigh's DISEASE (SUBACUTE NECROTIZING ENCEPHALOMYELOPATHY) is reported with such noteworthy features as early onset, DYSTONIA paraparesis the presence of low attenuation areas in both basal ganglias on computerized tomography of the brain and the presence of a high signal intensity in both basal ganglias in T2 weighted image by MR. The electron microscopic findings of muscle biopsy are suggestive of pleoconial mitochondrial myopathy.",DYSTONIA,DISEASE (SUBACUTE NECROTIZING ENCEPHALOMYELOPATHY)
BRUCELLOSIS causes BRUCELLA MELITENSIS,causes,0.913811548620257,Treatment of BRUCELLOSIS   +    caused by  BRUCELLA MELITENSIS.,BRUCELLOSIS,BRUCELLA MELITENSIS
STURGE-WEBER SYNDROME causes GLAUCOMA,causes,0.629940788348712,"The results of our data can serve as a guide for estimating relative risk figures for seizures, GLAUCOMA, and mental retardation in children with STURGE-WEBER SYNDROME",GLAUCOMA,STURGE-WEBER SYNDROME
