,direction,relation,relex_relcos,sentence,term1,term2
0,IM CEFTRIAXONE treats URETHRAL OR RECTAL GONORRHEA,treats,1.0,"For treatment of uncomplicated cervical, URETHRAL OR RECTAL GONORRHEA CDC and others recommend IM ceftriaxone or oral cefixime; IM CEFTRIAXONE is drug of choice for pharyngeal infections.",URETHRAL OR RECTAL GONORRHEA,IM CEFTRIAXONE
1,URETHRAL OR RECTAL GONORRHEA treats IM CEFTRIAXONE,treats,1.0,"For treatment of uncomplicated cervical, URETHRAL OR RECTAL GONORRHEA CDC and others recommend IM ceftriaxone or oral cefixime; IM CEFTRIAXONE is drug of choice for pharyngeal infections.",URETHRAL OR RECTAL GONORRHEA,IM CEFTRIAXONE
2,IM CEFTRIAXONE treats URETHRAL OR RECTAL GONORRHEA,treats,1.0,"For treatment of uncomplicated cervical, URETHRAL OR RECTAL GONORRHEA CDC and others recommend IM ceftriaxone or oral cefixime; IM CEFTRIAXONE is drug of choice for pharyngeal infections.",URETHRAL OR RECTAL GONORRHEA,IM CEFTRIAXONE
3,URETHRAL OR RECTAL GONORRHEA treats IM CEFTRIAXONE,treats,1.0,"For treatment of uncomplicated cervical, URETHRAL OR RECTAL GONORRHEA CDC and others recommend IM ceftriaxone or oral cefixime; IM CEFTRIAXONE is drug of choice for pharyngeal infections.",URETHRAL OR RECTAL GONORRHEA,IM CEFTRIAXONE
4,IM CEFTRIAXONE treats URETHRAL OR RECTAL GONORRHEA,treats,1.0,"For treatment of uncomplicated cervical, URETHRAL OR RECTAL GONORRHEA CDC and others recommend IM ceftriaxone or oral cefixime; IM CEFTRIAXONE is drug of choice for pharyngeal infections.",URETHRAL OR RECTAL GONORRHEA,IM CEFTRIAXONE
5,IM CEFTRIAXONE treats URETHRAL OR RECTAL GONORRHEA,treats,1.0,"For treatment of uncomplicated cervical, URETHRAL OR RECTAL GONORRHEA CDC and others recommend IM ceftriaxone or oral cefixime; IM CEFTRIAXONE is drug of choice for pharyngeal infections.",URETHRAL OR RECTAL GONORRHEA,IM CEFTRIAXONE
6,IM CEFTRIAXONE treats URETHRAL OR RECTAL GONORRHEA,treats,1.0,"For treatment of uncomplicated cervical, URETHRAL OR RECTAL GONORRHEA CDC and others recommend IM ceftriaxone or oral cefixime; IM CEFTRIAXONE is drug of choice for pharyngeal infections.",URETHRAL OR RECTAL GONORRHEA,IM CEFTRIAXONE
7,no_relation,diagnosis,0.5303300858899109,"Diagnosis specific malignancies available for evaluation included ALL, acute myeloid leukaemia (AML), Hodgkin's disease, NHL, rhabdomyosarcoma, neuroblastoma, retinoblastoma, OSTEOSARCOMA Wilms' tumour, RETINOBLASTOMA Ewings' sarcoma, central nervous system (CNS) tumours and hepatoblastoma.",OSTEOSARCOMA,RETINOBLASTOMA
8,OSTEOSARCOMA diagnosis RETINOBLASTOMA,diagnosis,0.5303300858899109,"Diagnosis specific malignancies available for evaluation included ALL, acute myeloid leukaemia (AML), Hodgkin's disease, NHL, rhabdomyosarcoma, neuroblastoma, retinoblastoma, OSTEOSARCOMA Wilms' tumour, RETINOBLASTOMA Ewings' sarcoma, central nervous system (CNS) tumours and hepatoblastoma.",OSTEOSARCOMA,RETINOBLASTOMA
9,no_relation,diagnosis,0.5303300858899109,"Diagnosis specific malignancies available for evaluation included ALL, acute myeloid leukaemia (AML), Hodgkin's disease, NHL, rhabdomyosarcoma, neuroblastoma, retinoblastoma, OSTEOSARCOMA Wilms' tumour, RETINOBLASTOMA Ewings' sarcoma, central nervous system (CNS) tumours and hepatoblastoma.",OSTEOSARCOMA,RETINOBLASTOMA
10,no_relation,diagnosis,0.5303300858899109,"Diagnosis specific malignancies available for evaluation included ALL, acute myeloid leukaemia (AML), Hodgkin's disease, NHL, rhabdomyosarcoma, neuroblastoma, retinoblastoma, OSTEOSARCOMA Wilms' tumour, RETINOBLASTOMA Ewings' sarcoma, central nervous system (CNS) tumours and hepatoblastoma.",OSTEOSARCOMA,RETINOBLASTOMA
11,no_relation,diagnosis,0.5303300858899109,"Diagnosis specific malignancies available for evaluation included ALL, acute myeloid leukaemia (AML), Hodgkin's disease, NHL, rhabdomyosarcoma, neuroblastoma, retinoblastoma, OSTEOSARCOMA Wilms' tumour, RETINOBLASTOMA Ewings' sarcoma, central nervous system (CNS) tumours and hepatoblastoma.",OSTEOSARCOMA,RETINOBLASTOMA
12,no_relation,diagnosis,0.5303300858899109,"Diagnosis specific malignancies available for evaluation included ALL, acute myeloid leukaemia (AML), Hodgkin's disease, NHL, rhabdomyosarcoma, neuroblastoma, retinoblastoma, OSTEOSARCOMA Wilms' tumour, RETINOBLASTOMA Ewings' sarcoma, central nervous system (CNS) tumours and hepatoblastoma.",OSTEOSARCOMA,RETINOBLASTOMA
13,no_relation,diagnosis,0.5303300858899109,"Diagnosis specific malignancies available for evaluation included ALL, acute myeloid leukaemia (AML), Hodgkin's disease, NHL, rhabdomyosarcoma, neuroblastoma, retinoblastoma, OSTEOSARCOMA Wilms' tumour, RETINOBLASTOMA Ewings' sarcoma, central nervous system (CNS) tumours and hepatoblastoma.",OSTEOSARCOMA,RETINOBLASTOMA
14,ALLERGY contraindicates NON ALLERGY,contraindicates,0.471404520791032,Acute steady state moderate exercise significantly altered circulating IgE concentrations in volunteers with known ALLERGY while IgE concentrations in NON ALLERGY sufferers did not change.,ALLERGY,NON ALLERGY
15,no_relation,contraindicates,0.471404520791032,Acute steady state moderate exercise significantly altered circulating IgE concentrations in volunteers with known ALLERGY while IgE concentrations in NON ALLERGY sufferers did not change.,ALLERGY,NON ALLERGY
16,no_relation,contraindicates,0.471404520791032,Acute steady state moderate exercise significantly altered circulating IgE concentrations in volunteers with known ALLERGY while IgE concentrations in NON ALLERGY sufferers did not change.,ALLERGY,NON ALLERGY
17,ALLERGY contraindicates NON ALLERGY,contraindicates,0.471404520791032,Acute steady state moderate exercise significantly altered circulating IgE concentrations in volunteers with known ALLERGY while IgE concentrations in NON ALLERGY sufferers did not change.,ALLERGY,NON ALLERGY
18,no_relation,contraindicates,0.471404520791032,Acute steady state moderate exercise significantly altered circulating IgE concentrations in volunteers with known ALLERGY while IgE concentrations in NON ALLERGY sufferers did not change.,ALLERGY,NON ALLERGY
19,no_relation,contraindicates,0.471404520791032,Acute steady state moderate exercise significantly altered circulating IgE concentrations in volunteers with known ALLERGY while IgE concentrations in NON ALLERGY sufferers did not change.,ALLERGY,NON ALLERGY
20,ALLERGY contraindicates NON ALLERGY,contraindicates,0.471404520791032,Acute steady state moderate exercise significantly altered circulating IgE concentrations in volunteers with known ALLERGY while IgE concentrations in NON ALLERGY sufferers did not change.,ALLERGY,NON ALLERGY
21,SALMETEROL treats EXERCISE INDUCED ASTHMA,treats,0.99654575824488,"SALMETEROL prevented EXERCISE INDUCED ASTHMA in all 13 children studied, at 1, 5, and 9 hours.",EXERCISE INDUCED ASTHMA,SALMETEROL
22,SALMETEROL treats EXERCISE INDUCED ASTHMA,treats,0.99654575824488,"SALMETEROL prevented EXERCISE INDUCED ASTHMA in all 13 children studied, at 1, 5, and 9 hours.",EXERCISE INDUCED ASTHMA,SALMETEROL
23,SALMETEROL treats EXERCISE INDUCED ASTHMA,treats,0.99654575824488,"SALMETEROL prevented EXERCISE INDUCED ASTHMA in all 13 children studied, at 1, 5, and 9 hours.",EXERCISE INDUCED ASTHMA,SALMETEROL
24,SALMETEROL treats EXERCISE INDUCED ASTHMA,treats,0.99654575824488,"SALMETEROL prevented EXERCISE INDUCED ASTHMA in all 13 children studied, at 1, 5, and 9 hours.",EXERCISE INDUCED ASTHMA,SALMETEROL
25,SALMETEROL treats EXERCISE INDUCED ASTHMA,treats,0.99654575824488,"SALMETEROL prevented EXERCISE INDUCED ASTHMA in all 13 children studied, at 1, 5, and 9 hours.",EXERCISE INDUCED ASTHMA,SALMETEROL
26,SALMETEROL treats EXERCISE INDUCED ASTHMA,treats,0.99654575824488,"SALMETEROL prevented EXERCISE INDUCED ASTHMA in all 13 children studied, at 1, 5, and 9 hours.",EXERCISE INDUCED ASTHMA,SALMETEROL
27,no_relation,treats,0.99654575824488,"SALMETEROL prevented EXERCISE INDUCED ASTHMA in all 13 children studied, at 1, 5, and 9 hours.",EXERCISE INDUCED ASTHMA,SALMETEROL
28,no_relation,causes,0.8834522085987719,"The patients showed the characteristic facies of the CORNELIA DE LANGE SYNDROME with SYNOPHRYS long curly eyelashes and small upturned nose, and physical features, including generalized hirsutism, monodactyly, syndactyly and clinodactyly.",SYNOPHRYS,CORNELIA DE LANGE SYNDROME
29,SYNOPHRYS causes CORNELIA DE LANGE SYNDROME,causes,0.8834522085987719,"The patients showed the characteristic facies of the CORNELIA DE LANGE SYNDROME with SYNOPHRYS long curly eyelashes and small upturned nose, and physical features, including generalized hirsutism, monodactyly, syndactyly and clinodactyly.",SYNOPHRYS,CORNELIA DE LANGE SYNDROME
